Division,Section,Department,GRP_REM,PARTYNAME,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,DESC1,DESC2,DESC3,MRP,RATE,ICODE,GENERATED,STOCKINDATE
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,925,421,M184432,2013-11-06 18:06:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1545,774.25,M184436,2013-11-06 18:07:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,995,459.25,M184440,2013-11-06 18:08:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1325,655,M184442,2013-11-06 18:08:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,895,414.25,M184447,2013-11-06 18:09:00,2013-11-08 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1145,549.25,M184448,2013-11-06 18:09:00,2013-12-10 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WLS,MB,,NA,F/S,OLD AGE,,,,595,473,M187096,2013-12-03 11:45:00,2014-01-15 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Kavita International. (5022) : SK00101,H WBP,SPARK,,NA,"24-28""",OLD AGE,,,,650,387,M186028,2013-11-21 09:49:00,2013-11-21 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,495,297,M186846,2013-11-29 12:42:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,375,210,M186838,2013-11-29 12:05:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,375,214.72,M186841,2013-11-29 12:06:00,2013-12-02 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,185,112,M186844,2013-11-29 12:08:00,2014-01-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Centos India. (0037) : SC00020,H WMJ,CENTOS,CARGO,NA,F/S,OLD AGE,,,,2245,1282.5,M185510,2013-11-16 16:30:00,2013-11-18 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Valmond Knits. (6035) : SV00052,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,295,175,M182899,2013-10-22 10:45:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Valmond Knits. (6035) : SV00052,H WMP,MB,HOOD,NA,SL,OLD AGE,,,,495,290,M182902,2013-10-22 10:45:00,2013-10-24 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Valmond Knits. (6035) : SV00052,H WMJ,MB,R NECK,NA,F FREE,OLD AGE,,,,675,394,M182904,2013-10-22 10:46:00,2013-10-24 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,MB,CARDIGAN,NA,FREE,OLD AGE,,,,1150,669.75,M182905,2013-10-22 10:47:00,2013-10-22 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,Dolman Knitwear(61D-0026) : SD00039,H WBS,MB,,NA,"22-26""",OLD AGE,,,,410,303.8,M183653,2013-10-28 16:08:00,2013-12-30 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,Jain Creations(61J-0034) : SJ00052,H WBS,MB,,NA,"22-26""",OLD AGE,,,,395,242,M183657,2013-10-28 16:20:00,2013-10-29 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,Jain Creations(61J-0034) : SJ00052,H WBS,MB,,NA,"22-26""",OLD AGE,,,,395,238,M183659,2013-10-28 16:22:00,2014-02-14 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,Tudor International. (5042) : ST00042,H WMT,MB,,NA,NA,OLD AGE,,,,975,607.2,M183664,2013-10-28 16:40:00,2013-11-06 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"20""",OLD AGE,,,,210,124.5,M183675,2013-10-28 17:00:00,2013-10-29 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"20""",OLD AGE,,,,325,195.05,M183679,2013-10-28 17:02:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,295,175,M183632,2013-10-28 15:31:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,645,438,M183634,2013-10-28 15:45:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WLS,BORGOFORTE,CARDIGAN,NA,F/S,OLD AGE,,,,1695,1010,M183636,2013-10-28 15:54:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WLS,BORGOFORTE,CARDIGAN,NA,F/S,OLD AGE,,,,1550,980,M183640,2013-10-28 15:55:00,2013-10-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WLS,BORGOFORTE,CARDIGAN,NA,F/S,OLD AGE,,,,1395,850,M183642,2013-10-28 15:55:00,2014-01-15 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,Dolman Knitwear(61D-0026) : SD00039,H WBS,MB,,NA,"22-26""",OLD AGE,,,,260,191,M183651,2013-10-28 16:08:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,ATAM,CARDIGAN,NA,F/S,OLD AGE,,,,950,610,M184502,2013-11-07 12:33:00,2013-11-08 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,ATAM,CARDIGAN,NA,F/S,OLD AGE,,,,995,650,M184504,2013-11-07 12:33:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,ATAM,CARDIGAN,NA,F/S,OLD AGE,,,,1350,865,M184508,2013-11-07 12:34:00,2013-11-08 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1595,805.75,M184512,2013-11-07 12:51:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,945,430,M184515,2013-11-07 12:53:00,2013-11-07 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1525,761,M184519,2013-11-07 12:57:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WLL,KARAN,SHAWL,NA,NA,OLD AGE,,,,195,137,M184523,2013-11-07 14:22:00,2014-02-14 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Star International. (0208) : SS00320,H WMJ,MB,,NA,F/S,OLD AGE,,,,795,420.75,M397401,2015-11-19 11:51:53,2015-11-19 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"30-34""",OLD AGE,,,,675,400,M183133,2013-10-24 10:21:00,2013-10-25 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,J. S. Marjara Knitwears. (5146) : SJ00057,H WGJ,MB,,NA,"F 36""",OLD AGE,,,,895,520,M183140,2013-10-24 10:27:00,2013-12-09 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,J. S. Marjara Knitwears. (5146) : SJ00057,H WGJ,MB,,NA,"F 36""",OLD AGE,,,,950,560,M183143,2013-10-24 10:28:00,2013-12-09 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,J. S. Marjara Knitwears. (5146) : SJ00057,H WGJ,MB,,NA,"F 30-34""",OLD AGE,,,,950,560,M183145,2013-10-24 10:28:00,2013-12-09 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,J. S. Marjara Knitwears. (5146) : SJ00057,H WGJ,MB,,NA,"F 30-34""",OLD AGE,,,,1250,740,M183148,2013-10-24 10:29:00,2014-01-15 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,595,472,M183156,2013-10-24 11:09:00,2013-10-24 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,695,525,M183159,2013-10-24 11:12:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,425,289,M183161,2013-10-24 11:13:00,2014-02-22 00:00:00
Winter Garments,Winterwear Girls,Sweaters [WG],Girls,Usha Knit Fab. (5043) : SU00014,H WGS,KIDS CREW,,NA,"24-28""",OLD AGE,,,,925,540,M183165,2013-10-24 11:15:00,2014-02-22 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WMJ,MB,,NA,F/S,OLD AGE,,,,1195,911,M187981,2013-12-17 16:08:00,2013-12-17 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WMJ,MB,CARGO,NA,F/S,OLD AGE,,,,795,621,M187720,2013-12-12 11:47:00,2014-01-15 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,275,162.8,M182751,2013-10-19 14:27:00,2013-10-22 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMS,MB,NA,NA,F/S,OLD AGE,,,,1545,880,M183704,2013-10-28 17:18:00,2013-10-29 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMS,MB,ROUND NECK,NA,F/S,OLD AGE,,,,575,336,M183707,2013-10-28 17:19:00,2013-10-29 00:00:00
Winter Garments,Winterwear Girls,Sweaters [WG],Girls,Gold Medal Knitwears. (5090) : SG00055,H WGS,MB,,NA,"36""",OLD AGE,,,,695,399,M184696,2013-11-09 11:40:00,2013-11-09 00:00:00
Winter Garments,Winterwear Girls,Sweaters [WG],Girls,Gold Medal Knitwears. (5090) : SG00055,H WGS,MB,,NA,"36""",OLD AGE,,,,825,484.5,M184699,2013-11-09 11:41:00,2013-11-09 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"18""",OLD AGE,,,,450,265.6,M183685,2013-10-28 17:03:00,2013-10-29 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WMS,MB,V NECK,NA,H/S,OLD AGE,,,,675,375.25,M182365,2013-10-16 11:43:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Maheswari Traders. (0115) : SM00075,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,99,55,M186436,2013-11-25 16:57:00,2013-11-26 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,125,72,M182533,2013-10-17 12:17:00,2013-10-21 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,Dua Kids. (5084) : SD00038,H WBS,DUA,,NA,"16""",OLD AGE,,,,210,127,M97340,2011-10-31 14:11:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,625,385.44,M182756,2013-10-19 14:27:00,2013-10-22 00:00:00
Winter Garments,Winterwear Girls,Sweaters [WG],Girls,Yonex Wears(61Y-0008) : SY00010,H WGS,MB,,NA,"F 24-28""",OLD AGE,,,,650,395,M183396,2013-10-25 15:03:00,2013-10-25 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,M. P. Jain Knitwears. (5057) : SM00086,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,645,385,M185848,2013-11-20 11:03:00,2013-11-21 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,Dua Garments. (5014) : SD00016,H WBS,DUA,,NA,"16""",OLD AGE,,,,550,317.4,M182128,2013-10-09 11:00:00,2013-10-10 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,525,303.6,M187078,2013-12-02 15:22:00,2013-12-18 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,495,282,M187080,2013-12-02 15:22:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,Krishna Enterprise(33K-0094) : SK00121,H WLL,MB,SHAWL,NA,NA,OLD AGE,,,,175,142,M187740,2013-12-12 15:32:00,2013-12-12 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Bhaskar Textile. (0029) : SB00004,H WLP,MB,HOOD,NA,F/S,OLD AGE,,,,325,177,M187751,2013-12-13 10:54:00,2014-03-13 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Bahu Bali Knitwears (Regd.) (5008) : SB00068,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,595,355,M186269,2013-11-23 14:33:00,2013-11-23 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Bahu Bali Knitwears (Regd.) (5008) : SB00068,H WMP,MB,NA,NA,F FREE,OLD AGE,,,,725,425,M186272,2013-11-23 14:34:00,2013-11-23 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,Okasa Knitwears. (5073) : SO00010,H WMT,OKASA,,NA,NA,OLD AGE,,,,975,607.5,M185164,2013-11-14 11:17:00,2013-12-04 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,Star Apparels. (5039) : SS00157,H WMT,MB,PAYJAMA,NA,NA,OLD AGE,,,,425,261,M185166,2013-11-14 11:34:00,2014-02-22 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WMT,MB,,NA,NA,OLD AGE,,,,225,97,M171961,2013-08-10 14:27:00,2014-02-22 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Baazar Retail Limited(61B-0015) : SB00032,H WMS,MB,V NECK,NA,F/S,OLD AGE,,,,775,437.14,M18179,2010-01-13 12:27:00,2010-01-13 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Ashoka Hosiery Pvt. Ltd. (5007) : SA00061,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1495,855,M183446,2013-10-26 15:06:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Ashoka Hosiery Pvt. Ltd. (5007) : SA00061,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1195,684,M183449,2013-10-26 15:07:00,2013-10-28 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Ashoka Hosiery Pvt. Ltd. (5007) : SA00061,H WMJ,MB,CARGO,NA,S LESS,OLD AGE,,,,1075,617.5,M183451,2013-10-26 15:08:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Ashoka Hosiery Pvt. Ltd. (5007) : SA00061,H WMJ,MB,CARGO,NA,S LESS,OLD AGE,,,,995,570,M183454,2013-10-26 15:08:00,2013-12-30 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Dua Garments. (5014) : SD00016,H WGJ,DUA,,NA,"F 24-28""",OLD AGE,,,,895,529,M183468,2013-10-26 15:43:00,2013-10-28 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Dua Garments. (5014) : SD00016,H WGJ,DUA,,NA,"F 26-30""",OLD AGE,,,,825,492.2,M183470,2013-10-26 15:44:00,2013-10-28 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,T K Samrat Hosiery Mills(61T-0045) : ST00074,H WMS,MB,NA,NA,F/S,OLD AGE,,,,825,469.2,M183479,2013-10-26 16:07:00,2013-10-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,T K Samrat Hosiery Mills(61T-0045) : ST00074,H WMS,MB,NA,NA,F/S,OLD AGE,,,,845,487.6,M183483,2013-10-26 16:08:00,2013-10-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,T K Samrat Hosiery Mills(61T-0045) : ST00074,H WMS,MB,NA,NA,F/S,OLD AGE,,,,1025,589,M183485,2013-10-26 16:09:00,2014-01-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,T K Samrat Hosiery Mills(61T-0045) : ST00074,H WMS,MB,NA,NA,F/S,OLD AGE,,,,1225,699.2,M183487,2013-10-26 16:09:00,2013-10-28 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,F/S,OLD AGE,,,,325,175,M183971,2013-10-30 10:29:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,945,585,M184794,2013-11-11 15:25:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,495,282,M184801,2013-11-11 15:26:00,2013-11-12 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1195,665,M184803,2013-11-11 15:27:00,2013-12-17 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Sri Vaigai Garments. (6032) : SS00267,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,845,489,M182307,2013-10-11 09:28:00,2014-01-29 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"30-34""",OLD AGE,,,,525,315,M183131,2013-10-24 10:20:00,2013-10-24 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Khairat Ahmed(33K-0030) : SK00052,H WMJ,MB,RACE,NA,F FREE,OLD AGE,,,,745,445.5,M185201,2013-11-14 15:00:00,2013-11-15 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Khairat Ahmed(33K-0030) : SK00052,H WMJ,MB,NA,NA,F FREE,OLD AGE,,,,595,351,M185204,2013-11-14 15:02:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Poddar Enterprises. (0139) : SP00059,H MFFLR,OSWAL,MENS,NA,NA,OLD AGE,,,,145,82,M185433,2013-11-16 12:02:00,2013-11-19 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,595,362,M184169,2013-11-01 11:36:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Vijay Vallabh Knitting Works. (5089) : SV00037,H WLP,MISS 15,HOOD,NA,F/S,OLD AGE,,,,850,485,M185020,2013-11-13 12:43:00,2013-11-13 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Vijay Vallabh Knitting Works. (5089) : SV00037,H WLP,MISS 15,HOOD,NA,F/S,OLD AGE,,,,750,440,M185023,2013-11-13 12:44:00,2013-11-13 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,S. N. S. Garments. (3191) : SS00321,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1495,850,M185025,2013-11-13 12:55:00,2013-12-17 00:00:00
Winter Garments,Winterwear Girls,Payjama [WG],Girls,Fashion Creation. (Sandwich) (0054) : SF00030,H WGPY,SANDWICH,,NA,NA,OLD AGE,,,,70,38,M185032,2013-11-13 13:13:00,2014-11-25 00:00:00
Winter Garments,Winterwear Girls,Girls Sets [WG],Girls,Dudheria Apparels Pvt. Ltd. (0049) : SD00056,H WGCP,AMY,HOOD,NA,NA,OLD AGE,,,,199,123,M185034,2013-11-13 14:35:00,2014-02-22 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMP,MB,R NECK,NA,SL,OLD AGE,,,,1175,680.4,M183493,2013-10-28 09:35:00,2013-10-28 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMP,MB,NA,NA,F FREE,OLD AGE,,,,975,576,M183496,2013-10-28 09:36:00,2013-11-16 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Bahu Bali Knitwears (Regd.) (5008) : SB00068,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,695,400,M184527,2013-11-07 14:45:00,2013-11-07 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1575,895,M183510,2013-10-28 11:10:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1625,935,M183512,2013-10-28 11:11:00,2013-10-28 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Jorden -4U. (5097) : SJ00087,H WMS,MB,V NECK,NA,F/S,OLD AGE,,,,795,455,M183996,2013-10-30 11:41:00,2013-10-31 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Jorden -4U. (5097) : SJ00087,H WMS,MB,ROUND NECK,NA,F/S,OLD AGE,,,,645,375,M183999,2013-10-30 11:42:00,2013-10-31 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Jorden -4U. (5097) : SJ00087,H WMS,MB,V NECK,NA,H/S,OLD AGE,,,,475,270,M184002,2013-10-30 11:42:00,2013-10-31 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Jorden -4U. (5097) : SJ00087,H WMS,MB,COLLAR,NA,F/S,OLD AGE,,,,845,480,M184003,2013-10-30 11:43:00,2013-10-31 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Jorden -4U. (5097) : SJ00087,H WMS,MB,NA,NA,H/S,OLD AGE,,,,625,365,M184005,2013-10-30 11:44:00,2013-12-06 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,795,494,M184804,2013-11-11 15:27:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,H FREE,OLD AGE,,,,845,520,M184806,2013-11-11 15:27:00,2013-11-12 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,H FREE,OLD AGE,,,,1095,676,M184808,2013-11-11 15:28:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1195,748,M184811,2013-11-11 15:30:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Renu Hosiery Factory(61R-0039) : SS00154,H CAP,MB,MENS,NA,NA,OLD AGE,,,,59,38.72,M184813,2013-11-11 15:36:00,2013-11-13 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Renu Hosiery Factory(61R-0039) : SS00154,H CAP,MB,MENS,NA,NA,OLD AGE,,,,95,58.08,M184817,2013-11-11 15:36:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Renu Hosiery Factory(61R-0039) : SS00154,H MFFLR,MB,MENS,NA,NA,OLD AGE,,,,99,60,M184818,2013-11-11 15:37:00,2014-01-20 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Munshi Ram Hosiery(61M-0061) : SM00096,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,695,425,M185395,2013-11-16 10:47:00,2014-02-22 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Amarson International Pvt. Ltd. (5005) : SA00128,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,775,450,M185399,2013-11-16 11:18:00,2013-11-16 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Sri Ram Dev Industries. (5038) : SS00130,H WBP,ACCEPT,,NA,"30-34""",OLD AGE,,,,495,286,M185403,2013-11-16 11:26:00,2014-01-15 00:00:00
